County, FIPS,Met Healthy People Objective of 15.3?,"Age-Adjusted Death Rate([rate note]) - deaths per 100,000",Race,Lower CI (Rate),Upper CI (Rate),CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Death Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
Tennessee,47000,No,21.6,All races,21,22.2,N/A ,2,16,978,falling,-1.4,-1.6,-1.2
United States,0,No,19.6,All races,19.5,19.7,N/A , N/A , N/A,42101,falling,-1.3,-1.4,-1.1
Crockett County,47033,No,31.9,All races,17.3,54.4,1,1,69,3,*,*,*,*
Unicoi County,47171,No,31.7,All races,19.6,49.9,2,1,66,5,*,*,*,*
Scott County,47151,No,31.3,All races,19.5,48,3,1,68,5,stable,0.8,-0.8,2.5
Weakley County,47183,No,31.1,All races,21.7,43.7,4,1,60,8,stable,0.1,-1.5,1.6
Grundy County,47061,No,30.9,All races,17.6,52.2,5,1,69,3,*,*,*,*
Henderson County,47077,No,29.7,All races,19.8,43.3,6,1,65,6,*,*,*,*
Tipton County,47167,No,29.6,All races,22.2,38.8,7,1,54,11,stable,-0.9,-2.2,0.3
Lauderdale County,47097,No,29.4,All races,18.7,44.6,8,1,68,5,stable,-0.8,-2.4,0.8
Union County,47173,No,27.3,All races,16.8,43.2,9,1,69,4,*,*,*,*
Dickson County,47043,No,27.2,All races,19.9,36.6,10,1,64,10,stable,-0.7,-2.3,0.9
Shelby County,47157,No,27,All races,25,29,11,5,26,152,falling,-1,-1.3,-0.8
Hickman County,47081,No,26.7,All races,17,40.8,12,1,69,5,*,*,*,*
Chester County,47023,No,26.6,All races,15.7,43.4,13,1,69,4,*,*,*,*
Morgan County,47129,No,26.5,All races,15.1,43.9,14,1,69,4,*,*,*,*
Cheatham County,47021,No,25.9,All races,17.8,36.7,15,1,67,7,falling,-2.1,-3.7,-0.4
McNairy County,47109,No,25.3,All races,15.5,39.5,16,1,69,5,*,*,*,*
Bradley County,47011,No,25.2,All races,20.1,31.2,17,3,59,18,falling,-1.3,-2.2,-0.4
Carroll County,47017,No,24.3,All races,15.7,36.7,18,1,69,5,stable,-1.6,-3.1,0
Dyer County,47045,No,24.3,All races,16.3,35,19,1,68,6,stable,-0.4,-2.3,1.5
Lawrence County,47099,No,23.7,All races,16.7,33,20,1,68,8,stable,-1.4,-2.9,0.1
Hardeman County,47069,No,23.5,All races,13.4,38.8,21,1,69,4,*,*,*,*
Campbell County,47013,No,23.5,All races,16,33.7,22,2,69,7,stable,-1.4,-3,0.2
Warren County,47177,No,23.4,All races,16.3,33,23,2,68,7,*,*,*,*
Lincoln County,47103,No,23.4,All races,15.7,34.2,24,1,69,6,stable,0.1,-1.6,1.7
Sullivan County,47163,No,23.4,All races,19.6,27.7,25,8,57,31,falling,-1.3,-2.1,-0.5
Cumberland County,47035,No,23.3,All races,16.8,31.7,26,3,67,12,stable,-0.1,-1.8,1.6
Claiborne County,47025,No,23.1,All races,15,34.6,27,1,69,5,stable,-1,-3.1,1.2
Overton County,47133,No,22.9,All races,14,36.4,28,1,69,4,*,*,*,*
Coffee County,47031,No,22.7,All races,16.2,31,29,2,68,9,falling,-2.2,-3.9,-0.5
Gibson County,47053,No,22.6,All races,16.3,30.8,30,3,68,9,stable,-1.1,-2.3,0.2
Humphreys County,47085,No,22.5,All races,12.4,38.7,31,1,69,3,*,*,*,*
Madison County,47113,No,22.4,All races,17.4,28.4,32,6,65,15,stable,-1,-2.1,0.1
Anderson County,47001,No,22,All races,16.9,28.4,33,4,67,14,stable,-0.2,-1.4,1
Monroe County,47123,No,21.9,All races,14.9,31.2,34,3,69,7,stable,0,-1.7,1.7
Davidson County,47037,No,21.8,All races,19.7,24,35,17,54,85,falling,-1.8,-2.2,-1.4
Marion County,47115,No,21.7,All races,13.3,34,36,1,69,5,*,*,*,*
Putnam County,47141,No,21.5,All races,16.1,28.2,37,5,68,11,falling,-2.6,-3.7,-1.4
White County,47185,No,20.9,All races,12.7,33,38,2,69,4,falling,-2.1,-3.8,-0.3
Rutherford County,47149,No,20.9,All races,17.7,24.4,39,14,63,33,falling,-1.7,-2.5,-1
Loudon County,47105,No,20.7,All races,14.9,28.6,40,4,69,10,stable,-1.1,-2.4,0.2
Marshall County,47117,No,20.7,All races,12.9,31.7,41,2,69,5,stable,-1.1,-2.8,0.7
Sevier County,47155,No,20.6,All races,16,26.2,42,10,68,15,stable,-1.1,-2.4,0.1
DeKalb County,47041,No,20.5,All races,11.6,34.6,43,1,69,3,*,*,*,*
Hamblen County,47063,No,20.5,All races,15,27.5,44,6,69,10,stable,-1.2,-2.5,0
Sumner County,47165,No,20.4,All races,17,24.4,45,14,65,26,falling,-1.8,-2.6,-1
Giles County,47055,No,20.3,All races,12.5,31.7,46,2,69,5,falling,-2.2,-3.7,-0.6
