county,Year , Total population , Total population - Male ,Total population - Female,"Total population - Hispanic or Latino, White",Total population - Black or African American ,Total population - American Indian & Alaska Native,Total population - Asian, Total population - Native Hawaiian & Other Pacific Islander ,Total population - Some other race alone,"Total population - Hispanic or Latino, Two or more races",Total population -Hispanic or Latino (of any race),Total population - White , Total (General) – Ratio to Poverty (poverty status determined) ,Total (General) – Ratio to Poverty (Below 100 percent of the poverty threshold),Total – Insured Population,Total – Insured Population (Male),Total – Insured Population (Female),"Total – Insured Population (HISPANIC OR LATINO, White)",Total – Insured Population (Black or African American),Total – Insured Population (American Indian and Alaska Native),Total – Insured Population (Asian), Total – Insured Population (Native Hawaiian and Other Pacific Islander) , Total – Insured Population (HISPANIC OR LATINO ORIGIN (Some other race alone) ,Total – Insured Population (HISPANIC OR LATINO ORIGIN (Two or more races),Total – Insured Population (HISPANIC OR LATINO ORIGIN (of any race),Total – Insured Population (White), Percent of Insured population ,Percent of Insured population - (Male),Percent of Insured population - (Female),"Percent of Insured population - (HISPANIC OR LATINO, White)",Percent of Insured population - (Black or African American),Percent of Insured population - (American Indian and Alaska Native),Percent of Insured population - (Asian),Percent of Insured population - (Native Hawaiian and Other Pacific Islander),"Percent of Insured population - (HISPANIC OR LATINO ORIGIN, (Some other race alone)","Percent of Insured population - (HISPANIC OR LATINO ORIGIN, (Two or more races)","Percent of Insured population - (HISPANIC OR LATINO ORIGIN, (of any race)",Percent of Insured population - (White),Total – Uninsured Population,Total – Uninsured Population (Male), Total – Uninsured Population (Female) ,"Total – Uninsured Population (HISPANIC OR LATINO, White)",Total – Uninsured Population (Black or African American), Total – Uninsured Population (American Indian and Alaska Native) , Total – Uninsured Population (Asian) ,Total – Uninsured Population (Native Hawaiian and Other Pacific Islander)," Total – Uninsured Population (HISPANIC OR LATINO, (Some other race) "," Total – Uninsured Population (HISPANIC OR LATINO, (Two or more races) ","Total – Uninsured Population (HISPANIC OR LATINO, (of any race)",Total – Uninsured Population (White),Percent of Uninsured population,Percent of Uninsured population - (Male),Percent of Uninsured population - (Female),"Percent of Uninsured population - (HISPANIC OR LATINO, White)",Percent of Uninsured population - (Black or African American),Percent of Uninsured population - (American Indian and Alaska Native),Percent of Uninsured population - (Asian),Percent of Uninsured population - (Native Hawaiian and Other Pacific Islander),"Percent of Uninsured population - (HISPANIC OR LATINO, (Some other race alone)","Percent of Uninsured population - (HISPANIC OR LATINO, (Two or more races)","Percent of Uninsured population - (HISPANIC OR LATINO, (of any race)",Percent of Uninsured population - (White),GEOID,state,county
Meigs County,2020,12129,5982,6147,11536,224,45,33, -   ,50,241,272,11281,11989,1852,10767,5296,5471,10215,183,45,33, -   ,50,241,229,10003,88.8,88.5,89,88.5,81.7,100,100,-666666666,100,100,84.2,88.7,1362,686,676,1321,41, -   , -   , -   , -   , -   ,43,1278,11.2,11.5,11,11.5,18.3,0,0,-666666666,0,0,15.8,11.3,0500000US47121,47,121
Montgomery County,2020,191007,90431,100576,131487,37619,878,4744,605,3650,12024,19135,119624,189328,24410,175856,81375,94481,121915,34317,822,4335,565,2950,10952,16500,111463,92.1,90,93.9,92.7,91.2,93.6,91.4,93.4,80.8,91.1,86.2,93.2,15151,9056,6095,9572,3302,56,409,40,700,1072,2635,8161,7.9,10,6.1,7.3,8.8,6.4,8.6,6.6,19.2,8.9,13.8,6.8,0500000US47125,47,125
Moore County,2020,6302,3105,3197,5890,91,72,184,1, -   ,64, -   ,5890,6271,505,5789,2848,2941,5394,74,72,184,1, -   ,64, -   ,5394,91.9,91.7,92,91.6,81.3,100,100,100,-666666666,100,-666666666,91.6,513,257,256,496,17, -   , -   , -   , -   , -   , -   ,496,8.1,8.3,8,8.4,18.7,0,0,0,-666666666,0,-666666666,8.4,0500000US47127,47,127
Obion County,2020,29900,14372,15528,25021,3322,72,120,5,448,912,1406,24367,29710,5673,27323,13166,14157,22959,3176,70,87,5,246,780,1063,22393,91.4,91.6,91.2,91.8,95.6,97.2,72.5,100,54.9,85.5,75.6,91.9,2577,1206,1371,2062,146,2,33, -   ,202,132,343,1974,8.6,8.4,8.8,8.2,4.4,2.8,27.5,0,45.1,14.5,24.4,8.1,0500000US47131,47,131
Overton County,2020,21876,10700,11176,21214,71,24,70,139,8,350,340,21005,21843,4200,19947,9587,10360,19319,71,24,70,139, -   ,324,340,19110,91.2,89.6,92.7,91.1,100,100,100,100,0,92.6,100,91,1929,1113,816,1895, -   , -   , -   , -   ,8,26, -   ,1895,8.8,10.4,7.3,8.9,0,0,0,0,100,7.4,0,9,0500000US47133,47,133
Pickett County,2020,4992,2455,2537,4904, -   , -   , -   , -   , -   ,88,161,4817,4992,966,4748,2279,2469,4694, -   , -   , -   , -   , -   ,54,127,4607,95.1,92.8,97.3,95.7,-666666666,-666666666,-666666666,-666666666,-666666666,61.4,78.9,95.6,244,176,68,210, -   , -   , -   , -   , -   ,34,34,210,4.9,7.2,2.7,4.3,-666666666,-666666666,-666666666,-666666666,-666666666,38.6,21.1,4.4,0500000US47137,47,137
Polk County,2020,16552,8217,8335,15687,79,37,27, -   ,77,645,349,15415,16489,2046,14236,6949,7287,13645, -   ,37,25, -   ,29,500,156,13518,86,84.6,87.4,87,0,100,92.6,-666666666,37.7,77.5,44.7,87.7,2316,1268,1048,2042,79, -   ,2, -   ,48,145,193,1897,14,15.4,12.6,13,100,0,7.4,-666666666,62.3,22.5,55.3,12.3,0500000US47139,47,139
Rhea County,2020,32640,16110,16530,30284,563,31,172, -   ,559,1031,1682,29264,31904,5449,28922,13936,14986,27102,461,22,63, -   ,415,859,1265,26346,88.6,86.5,90.7,89.5,81.9,71,36.6,-666666666,74.2,83.3,75.2,90,3718,2174,1544,3182,102,9,109, -   ,144,172,417,2918,11.4,13.5,9.3,10.5,18.1,29,63.4,-666666666,25.8,16.7,24.8,10,0500000US47143,47,143
Roane County,2020,52646,25725,26921,49328,1187,226,412,18,237,1238,1030,48792,52604,7117,49272,23920,25352,46327,1072,226,284, -   ,164,1199,910,45805,93.6,93,94.2,93.9,90.3,100,68.9,0,69.2,96.8,88.3,93.9,3374,1805,1569,3001,115, -   ,128,18,73,39,120,2987,6.4,7,5.8,6.1,9.7,0,31.1,100,30.8,3.2,11.7,6.1,0500000US47145,47,145
Rutherford County,2020,321339,157299,164040,241621,48392,832,11277,37,5383,13797,26828,223679,317743,32953,292552,142166,150386,220554,45032,702,10245,16,3925,12078,18137,208971,91,90.4,91.7,91.3,93.1,84.4,90.8,43.2,72.9,87.5,67.6,93.4,28787,15133,13654,21067,3360,130,1032,21,1458,1719,8691,14708,9,9.6,8.3,8.7,6.9,15.6,9.2,56.8,27.1,12.5,32.4,6.6,0500000US47149,47,149
Scott County,2020,21688,10735,10953,21260,62,122,3, -   ,15,226,210,21107,21509,4734,19084,9188,9896,18688,60,118,3, -   ,15,200,210,18535,88,85.6,90.3,87.9,96.8,96.7,100,-666666666,100,88.5,100,87.8,2604,1547,1057,2572,2,4, -   , -   , -   ,26, -   ,2572,12,14.4,9.7,12.1,3.2,3.3,0,-666666666,0,11.5,0,12.2,0500000US47151,47,151
Sequatchie County,2020,14703,7461,7242,14237,39,26, -   , -   ,48,353,533,13704,14684,3174,12974,6421,6553,12562,15,26, -   , -   ,38,333,172,12390,88.2,86.1,90.5,88.2,38.5,100,-666666666,-666666666,79.2,94.3,32.3,90.4,1729,1040,689,1675,24, -   , -   , -   ,10,20,361,1314,11.8,13.9,9.5,11.8,61.5,0,-666666666,-666666666,20.8,5.7,67.7,9.6,0500000US47153,47,153
Shelby County,2020,923937,435215,488722,352844,496571,1679,25298,329,25949,21267,59714,325810,917556,174322,817782,375604,442178,322981,436242,1060,22718,236,15886,18659,38108,305004,88.5,86.3,90.5,91.5,87.9,63.1,89.8,71.7,61.2,87.7,63.8,93.6,106155,59611,46544,29863,60329,619,2580,93,10063,2608,21606,20806,11.5,13.7,9.5,8.5,12.1,36.9,10.2,28.3,38.8,12.3,36.2,6.4,0500000US47157,47,157
Smith County,2020,19726,9897,9829,18254,523,74,89, -   ,249,537,553,18105,19694,2904,18049,8900,9149,16727,489,66,89, -   ,169,509,462,16578,91.5,89.9,93.1,91.6,93.5,89.2,100,-666666666,67.9,94.8,83.5,91.6,1677,997,680,1527,34,8, -   , -   ,80,28,91,1527,8.5,10.1,6.9,8.4,6.5,10.8,0,-666666666,32.1,5.2,16.5,8.4,0500000US47159,47,159
Sullivan County,2020,155923,75584,80339,146830,2766,390,1042,107,1092,3696,3131,145397,155086,24071,142200,67992,74208,134418,2423,318,943,107,814,3177,2516,133201,91.2,90,92.4,91.5,87.6,81.5,90.5,100,74.5,86,80.4,91.6,13723,7592,6131,12412,343,72,99, -   ,278,519,615,12196,8.8,10,7.6,8.5,12.4,18.5,9.5,0,25.5,14,19.6,8.4,0500000US47163,47,163
Sumner County,2020,186063,90693,95370,158980,14505,402,2784,156,2663,6573,9512,154316,185370,18421,171601,82714,88887,147301,13383,400,2492,116,1908,6001,7497,143573,92.2,91.2,93.2,92.7,92.3,99.5,89.5,74.4,71.6,91.3,78.8,93,14462,7979,6483,11679,1122,2,292,40,755,572,2015,10743,7.8,8.8,6.8,7.3,7.7,0.5,10.5,25.6,28.4,8.7,21.2,7,0500000US47165,47,165
Trousdale County,2020,9442,5252,4190,8261,594,27,5, -   , -   ,555,43,8230,9375,918,8110,4347,3763,6996,582,27,5, -   , -   ,500,12,6996,85.9,82.8,89.8,84.7,98,100,100,-666666666,-666666666,90.1,27.9,85,1332,905,427,1265,12, -   , -   , -   , -   ,55,31,1234,14.1,17.2,10.2,15.3,2,0,0,-666666666,-666666666,9.9,72.1,15,0500000US47169,47,169
Unicoi County,2020,17448,8854,8594,16697,40,52,75, -   ,280,304,946,16107,17385,3039,15940,7816,8124,15265,37,52,59, -   ,253,274,576,15018,91.4,88.3,94.5,91.4,92.5,100,78.7,-666666666,90.4,90.1,60.9,93.2,1508,1038,470,1432,3, -   ,16, -   ,27,30,370,1089,8.6,11.7,5.5,8.6,7.5,0,21.3,-666666666,9.6,9.9,39.1,6.8,0500000US47171,47,171
Van Buren County,2020,5700,2834,2866,5500, -   , -   , -   , -   ,32,168,78,5454,5677,856,4893,2405,2488,4709, -   , -   , -   , -   ,16,168,62,4663,85.8,84.9,86.8,85.6,-666666666,-666666666,-666666666,-666666666,50,100,79.5,85.5,807,429,378,791, -   , -   , -   , -   ,16, -   ,16,791,14.2,15.1,13.2,14.4,-666666666,-666666666,-666666666,-666666666,50,0,20.5,14.5,0500000US47175,47,175
Warren County,2020,40407,20099,20308,36266,1002,92,309,127,1263,1348,3763,34308,40300,8146,35217,16757,18460,31837,867,84,300,109,856,1164,2460,30690,87.2,83.4,90.9,87.8,86.5,91.3,97.1,85.8,67.8,86.4,65.4,89.5,5190,3342,1848,4429,135,8,9,18,407,184,1303,3618,12.8,16.6,9.1,12.2,13.5,8.7,2.9,14.2,32.2,13.6,34.6,10.5,0500000US47177,47,177
Wayne County,2020,14580,7172,7408,13892,272,4,63, -   ,60,289,270,13707,14572,2356,12777,6349,6428,12211,272,4,9, -   ,33,248,229,12040,87.6,88.5,86.8,87.9,100,100,14.3,-666666666,55,85.8,84.8,87.8,1803,823,980,1681, -   , -   ,54, -   ,27,41,41,1667,12.4,11.5,13.2,12.1,0,0,85.7,-666666666,45,14.2,15.2,12.2,0500000US47181,47,181
Weakley County,2020,32919,16166,16753,29091,2776,94,91,23,286,558,916,28517,30926,6135,29286,13984,15302,26061,2437,60,76,15,147,490,600,25655,89,86.5,91.3,89.6,87.8,63.8,83.5,65.2,51.4,87.8,65.5,90,3633,2182,1451,3030,339,34,15,8,139,68,316,2862,11,13.5,8.7,10.4,12.2,36.2,16.5,34.8,48.6,12.2,34.5,10,0500000US47183,47,183
Williamson County,2020,231894,113658,118236,201873,9477,893,10867,49,1779,6956,11289,194148,231447,10768,219767,107173,112594,192692,8980,203,10342,29,1455,6066,8015,186620,94.8,94.3,95.2,95.5,94.8,22.7,95.2,59.2,81.8,87.2,71,96.1,12127,6485,5642,9181,497,690,525,20,324,890,3274,7528,5.2,5.7,4.8,4.5,5.2,77.3,4.8,40.8,18.2,12.8,29,3.9,0500000US47187,47,187
Wilson County,2020,139486,68258,71228,120676,9495,379,2617,22,2386,3911,6246,116801,138572,11497,130475,63202,67273,113126,9000,321,2418,22,1839,3749,5018,110005,93.5,92.6,94.4,93.7,94.8,84.7,92.4,100,77.1,95.9,80.3,94.2,9011,5056,3955,7550,495,58,199, -   ,547,162,1228,6796,6.5,7.4,5.6,6.3,5.2,15.3,7.6,0,22.9,4.1,19.7,5.8,0500000US47189,47,189
Bedford County,2020,48532,23836,24696,41489,3403,218,96,20,1548,1758,6206,37172,48206,6666,43034,20840,22194,37400,2894,197,96,20,1022,1405,4718,33898,88.7,87.4,89.9,90.1,85,90.4,100,100,66,79.9,76,91.2,5498,2996,2502,4089,509,21, -   , -   ,526,353,1488,3274,11.3,12.6,10.1,9.9,15,9.6,0,0,34,20.1,24,8.8,0500000US47003,47,3
Blount County,2020,130351,63105,67246,121523,3411,190,994,110,382,3741,4569,118148,129334,12629,118357,56265,62092,110500,3186,180,888,66,373,3164,3037,108277,90.8,89.2,92.3,90.9,93.4,94.7,89.3,60,97.6,84.6,66.5,91.6,11994,6840,5154,11023,225,10,106,44,9,577,1532,9871,9.2,10.8,7.7,9.1,6.6,5.3,10.7,40,2.4,15.4,33.5,8.4,0500000US47009,47,9
Cannon County,2020,14195,7043,7152,13616,274,20, -   ,2,45,238,333,13328,14169,2318,12582,6162,6420,12072,237,20, -   ,2,23,228,183,11912,88.6,87.5,89.8,88.7,86.5,100,-666666666,100,51.1,95.8,55,89.4,1613,881,732,1544,37, -   , -   , -   ,22,10,150,1416,11.4,12.5,10.2,11.3,13.5,0,-666666666,0,48.9,4.2,45,10.6,0500000US47015,47,15
Cheatham County,2020,40139,19996,20143,37513,526,216,210,21,475,1178,1352,36856,39972,4293,36374,17885,18489,34259,449,158,210,21,299,978,879,33808,90.6,89.4,91.8,91.3,85.4,73.1,100,100,62.9,83,65,91.7,3765,2111,1654,3254,77,58, -   , -   ,176,200,473,3048,9.4,10.6,8.2,8.7,14.6,26.9,0,0,37.1,17,35,8.3,0500000US47021,47,21
Clay County,2020,7534,3661,3873,7138,233, -   ,34, -   ,95,34,122,7129,7534,1955,6841,3295,3546,6544,204, -   ,34, -   ,30,29,48,6544,90.8,90,91.6,91.7,87.6,-666666666,100,-666666666,31.6,85.3,39.3,91.8,693,366,327,594,29, -   , -   , -   ,65,5,74,585,9.2,10,8.4,8.3,12.4,-666666666,0,-666666666,68.4,14.7,60.7,8.2,0500000US47027,47,27
Crockett County,2020,14092,6794,7298,10920,1820,25,48,10,722,547,1542,10333,14089,2248,12398,5759,6639,9647,1669,25,48,10,493,506,1081,9251,88,84.8,91,88.3,91.7,100,100,100,68.3,92.5,70.1,89.5,1694,1035,659,1273,151, -   , -   , -   ,229,41,461,1082,12,15.2,9,11.7,8.3,0,0,0,31.7,7.5,29.9,10.5,0500000US47033,47,33
Decatur County,2020,11422,5677,5745,10641,381,53, -   , -   ,133,214,383,10500,11422,2134,10519,5213,5306,9835,305,35, -   , -   ,130,214,362,9694,92.1,91.8,92.4,92.4,80.1,66,-666666666,-666666666,97.7,100,94.5,92.3,903,464,439,806,76,18, -   , -   ,3, -   ,21,806,7.9,8.2,7.6,7.6,19.9,34,-666666666,-666666666,2.3,0,5.5,7.7,0500000US47039,47,39
Jackson County,2020,11545,5740,5805,11003,14,31,8, -   ,202,287,248,10953,11499,1844,10093,5025,5068,9682,10,31,8, -   ,127,235,169,9632,87.4,87.5,87.3,88,71.4,100,100,-666666666,62.9,81.9,68.1,87.9,1452,715,737,1321,4, -   , -   , -   ,75,52,79,1321,12.6,12.5,12.7,12,28.6,0,0,-666666666,37.1,18.1,31.9,12.1,0500000US47087,47,87
Knox County,2020,462137,224258,237879,392182,39428,1155,10521,133,5334,13384,20475,378905,454525,60065,426726,204869,221857,365247,35338,980,9373,103,3746,11939,14730,355289,92.3,91.4,93.3,93.1,89.6,84.8,89.1,77.4,70.2,89.2,71.9,93.8,35411,19389,16022,26935,4090,175,1148,30,1588,1445,5745,23616,7.7,8.6,6.7,6.9,10.4,15.2,10.9,22.6,29.8,10.8,28.1,6.2,0500000US47093,47,93
Lawrence County,2020,43269,21174,22095,41116,696,121,180,56,252,848,1036,40328,43078,7191,37106,17613,19493,35254,661,103,111,56,252,669,670,34787,85.8,83.2,88.2,85.7,95,85.1,61.7,100,100,78.9,64.7,86.3,6163,3561,2602,5862,35,18,69, -   , -   ,179,366,5541,14.2,16.8,11.8,14.3,5,14.9,38.3,0,0,21.1,35.3,13.7,0500000US47099,47,99
Loudon County,2020,52777,25881,26896,48475,546,117,406, -   ,1381,1852,4828,45896,52615,6351,47494,22926,24568,43971,544,117,253, -   ,947,1662,3805,41947,90,88.6,91.3,90.7,99.6,100,62.3,-666666666,68.6,89.7,78.8,91.4,5283,2955,2328,4504,2, -   ,153, -   ,434,190,1023,3949,10,11.4,8.7,9.3,0.4,0,37.7,-666666666,31.4,10.3,21.2,8.6,0500000US47105,47,105
Macon County,2020,23820,11621,12199,22571,178,41,168, -   ,266,596,1248,21799,23801,3987,21413,10191,11222,20306,178,40,168, -   ,158,563,839,19829,89.9,87.7,92,90,100,97.6,100,-666666666,59.4,94.5,67.2,91,2407,1430,977,2265, -   ,1, -   , -   ,108,33,409,1970,10.1,12.3,8,10,0,2.4,0,-666666666,40.6,5.5,32.8,9,0500000US47111,47,111
Marshall County,2020,33348,16442,16906,29760,1714,13,129, -   ,536,1196,1868,28137,33053,5363,30744,15210,15534,27478,1510, -   ,129, -   ,478,1149,1408,26269,92.2,92.5,91.9,92.3,88.1,0,100,-666666666,89.2,96.1,75.4,93.4,2604,1232,1372,2282,204,13, -   , -   ,58,47,460,1868,7.8,7.5,8.1,7.7,11.9,100,0,-666666666,10.8,3.9,24.6,6.6,0500000US47117,47,117
Monroe County,2020,45836,22570,23266,42701,902,86,205, -   ,440,1502,2039,41448,44769,7570,41312,19963,21349,38698,766,86,205, -   ,373,1184,1516,37901,90.1,88.4,91.8,90.6,84.9,100,100,-666666666,84.8,78.8,74.4,91.4,4524,2607,1917,4003,136, -   , -   , -   ,67,318,523,3547,9.9,11.6,8.2,9.4,15.1,0,0,-666666666,15.2,21.2,25.6,8.6,0500000US47123,47,123
Morgan County,2020,18719,9003,9716,18385,3,124, -   , -   ,26,181,213,18201,18606,4205,16484,7908,8576,16220, -   ,124, -   , -   ,24,116,178,16067,88.1,87.8,88.3,88.2,0,100,-666666666,-666666666,92.3,64.1,83.6,88.3,2235,1095,1140,2165,3, -   , -   , -   ,2,65,35,2134,11.9,12.2,11.7,11.8,100,0,-666666666,-666666666,7.7,35.9,16.4,11.7,0500000US47129,47,129
Perry County,2020,7861,3897,3964,7309,44,72,195, -   ,18,223,202,7214,7852,1854,6685,3314,3371,6242,17,72,182, -   ,18,154,120,6216,85,85,85,85.4,38.6,100,93.3,-666666666,100,69.1,59.4,86.2,1176,583,593,1067,27, -   ,13, -   , -   ,69,82,998,15,15,15,14.6,61.4,0,6.7,-666666666,0,30.9,40.6,13.8,0500000US47135,47,135
Putnam County,2020,77561,38265,39296,71824,1796,240,1010, -   ,816,1875,4990,68095,74999,13341,71236,34757,36479,66224,1479,198,929, -   ,575,1831,3512,63703,91.8,90.8,92.8,92.2,82.3,82.5,92,-666666666,70.5,97.7,70.4,93.6,6325,3508,2817,5600,317,42,81, -   ,241,44,1478,4392,8.2,9.2,7.2,7.8,17.7,17.5,8,-666666666,29.5,2.3,29.6,6.4,0500000US47141,47,141
Robertson County,2020,70039,34490,35549,60391,4898,223,462,39,2132,1894,4992,57885,69909,7850,64059,31168,32891,55494,4396,220,439,39,1588,1883,3622,53794,91.5,90.4,92.5,91.9,89.8,98.7,95,100,74.5,99.4,72.6,92.9,5980,3322,2658,4897,502,3,23, -   ,544,11,1370,4091,8.5,9.6,7.5,8.1,10.2,1.3,5,0,25.5,0.6,27.4,7.1,0500000US47147,47,147
Sevier County,2020,97052,47917,49135,91299,783,287,800,44,763,3076,6174,86977,96441,13678,83658,40452,43206,79366,476,241,542,44,424,2565,3462,77231,86.2,84.4,87.9,86.9,60.8,84,67.8,100,55.6,83.4,56.1,88.8,13394,7465,5929,11933,307,46,258, -   ,339,511,2712,9746,13.8,15.6,12.1,13.1,39.2,16,32.3,0,44.4,16.6,43.9,11.2,0500000US47155,47,155
Stewart County,2020,13357,6433,6924,12489,49,70,71,111,89,478,405,12229,13263,1772,12248,5648,6600,11461,48,70,71,111,17,470,330,11204,91.7,87.8,95.3,91.8,98,100,100,100,19.1,98.3,81.5,91.6,1109,785,324,1028,1, -   , -   , -   ,72,8,75,1025,8.3,12.2,4.7,8.2,2,0,0,0,80.9,1.7,18.5,8.4,0500000US47161,47,161
Tipton County,2020,60531,29588,30943,46777,11069,151,401, -   ,562,1571,1673,45648,60407,7046,55190,26399,28791,42838,10010,130,324, -   ,527,1361,1477,41864,91.2,89.2,93,91.6,90.4,86.1,80.8,-666666666,93.8,86.6,88.3,91.7,5341,3189,2152,3939,1059,21,77, -   ,35,210,196,3784,8.8,10.8,7,8.4,9.6,13.9,19.2,-666666666,6.2,13.4,11.7,8.3,0500000US47167,47,167
Union County,2020,19491,9529,9962,18934,59, -   ,29,19,4,446,341,18754,19402,3655,17970,8695,9275,17421,53, -   ,29,18,4,445,341,17241,92.2,91.2,93.1,92,89.8,-666666666,100,94.7,100,99.8,100,91.9,1521,834,687,1513,6, -   , -   ,1, -   ,1, -   ,1513,7.8,8.8,6.9,8,10.2,-666666666,0,5.3,0,0.2,0,8.1,0500000US47173,47,173
