County_Name,Year , Estimate!!Total!!Civilian noninstitutionalized population , Estimate!!Total!!Civilian noninstitutionalized population!!SEX!!Male ,Estimate!!Total!!Civilian noninstitutionalized population!!SEX!!Female,Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone, Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone ,Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race),"Estimate!!Total!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino", Estimate!!Total!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined ,Estimate!!Total!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!Below 100 percent of the poverty threshold,Estimate!!Insured!!Civilian noninstitutionalized population,Estimate!!Insured!!Civilian noninstitutionalized population!!SEX!!Male,Estimate!!Insured!!Civilian noninstitutionalized population!!SEX!!Female,Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone, Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone , Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone ,Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race),"Estimate!!Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino", Estimate!!Percent Insured!!Civilian noninstitutionalized population ,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!SEX!!Male,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!SEX!!Female,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race),"Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!Below 138 percent of the poverty threshold,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!138 to 399 percent of the poverty threshold,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!At or above 400 percent of the poverty threshold,Estimate!!Percent Insured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!Below 100 percent of the poverty threshold,Estimate!!Uninsured!!Civilian noninstitutionalized population,Estimate!!Uninsured!!Civilian noninstitutionalized population!!SEX!!Male, Estimate!!Uninsured!!Civilian noninstitutionalized population!!SEX!!Female ,Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone, Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone , Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone ,Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone, Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone , Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races ,Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race),"Estimate!!Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino", Estimate!!Uninsured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined , Estimate!!Uninsured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!Below 138 percent of the poverty threshold , Estimate!!Uninsured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!138 to 399 percent of the poverty threshold ,Estimate!!Uninsured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!At or above 400 percent of the poverty threshold,Estimate!!Uninsured!!Civilian noninstitutionalized population!!RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS!!Civilian noninstitutionalized population for whom poverty status is determined!!Below 100 percent of the poverty threshold,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!SEX!!Male,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!SEX!!Female,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races,Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino (of any race),"Estimate!!Percent Uninsured!!Civilian noninstitutionalized population!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino",GEO_ID,state,county
Meigs County,2020," 12,129 "," 5,982 "," 6,147 "," 11,536 ", 224 , 45 , 33 , -   , 50 , 241 , 272 ," 11,281 "," 11,989 "," 1,852 ",10767," 5,296 "," 5,471 "," 10,215 ", 183 , 45 , 33 , -   , 50 , 241 , 229 ," 10,003 ", 88.8 ,88.5,89,88.5,81.7,100,100,-666666666,100,100,84.2,88.7,89.4,81.9,90.9,93.1,82.2," 1,362 ", 686 , 676 ," 1,321 ", 41 , -   , -   , -   , -   , -   , 43 ," 1,278 "," 1,271 ", 489 , 589 , 193 ,330,11.2,11.5,11,11.5,18.3,0,0,-666666666,0,0,15.8,11.3,0500000US47121,47,121
Montgomery County,2020," 191,007 "," 90,431 "," 100,576 "," 131,487 "," 37,619 ", 878 ," 4,744 ", 605 ," 3,650 "," 12,024 "," 19,135 "," 119,624 "," 189,328 "," 24,410 ",175856," 81,375 "," 94,481 "," 121,915 "," 34,317 ", 822 ," 4,335 ", 565 ," 2,950 "," 10,952 "," 16,500 "," 111,463 ", 92.1 ,90,93.9,92.7,91.2,93.6,91.4,93.4,80.8,91.1,86.2,93.2,92,87.1,92.2,94.8,85.2," 15,151 "," 9,056 "," 6,095 "," 9,572 "," 3,302 ", 56 , 409 , 40 , 700 ," 1,072 "," 2,635 "," 8,161 "," 15,067 "," 4,753 "," 7,208 "," 3,106 ",3605,7.9,10,6.1,7.3,8.8,6.4,8.6,6.6,19.2,8.9,13.8,6.8,0500000US47125,47,125
Moore County,2020," 6,302 "," 3,105 "," 3,197 "," 5,890 ", 91 , 72 , 184 , 1 , -   , 64 , -   ," 5,890 "," 6,271 ", 505 ,5789," 2,848 "," 2,941 "," 5,394 ", 74 , 72 , 184 , 1 , -   , 64 , -   ," 5,394 ", 91.9 ,91.7,92,91.6,81.3,100,100,100,-666666666,100,-666666666,91.6,91.8,88.3,90,95.9,81.6, 513 , 257 , 256 , 496 , 17 , -   , -   , -   , -   , -   , -   , 496 , 513 , 115 , 308 , 90 ,93,8.1,8.3,8,8.4,18.7,0,0,0,-666666666,0,-666666666,8.4,0500000US47127,47,127
Obion County,2020," 29,900 "," 14,372 "," 15,528 "," 25,021 "," 3,322 ", 72 , 120 , 5 , 448 , 912 ," 1,406 "," 24,367 "," 29,710 "," 5,673 ",27323," 13,166 "," 14,157 "," 22,959 "," 3,176 ", 70 , 87 , 5 , 246 , 780 ," 1,063 "," 22,393 ", 91.4 ,91.6,91.2,91.8,95.6,97.2,72.5,100,54.9,85.5,75.6,91.9,91.4,84,93.9,95,83.9," 2,577 "," 1,206 "," 1,371 "," 2,062 ", 146 , 2 , 33 , -   , 202 , 132 , 343 ," 1,974 "," 2,561 "," 1,323 ", 881 , 357 ,915,8.6,8.4,8.8,8.2,4.4,2.8,27.5,0,45.1,14.5,24.4,8.1,0500000US47131,47,131
Overton County,2020," 21,876 "," 10,700 "," 11,176 "," 21,214 ", 71 , 24 , 70 , 139 , 8 , 350 , 340 ," 21,005 "," 21,843 "," 4,200 ",19947," 9,587 "," 10,360 "," 19,319 ", 71 , 24 , 70 , 139 , -   , 324 , 340 ," 19,110 ", 91.2 ,89.6,92.7,91.1,100,100,100,100,0,92.6,100,91,91.2,87.8,91.3,95.5,86.9," 1,929 "," 1,113 ", 816 ," 1,895 ", -   , -   , -   , -   , 8 , 26 , -   ," 1,895 "," 1,929 ", 791 , 927 , 211 ,550,8.8,10.4,7.3,8.9,0,0,0,0,100,7.4,0,9,0500000US47133,47,133
Pickett County,2020," 4,992 "," 2,455 "," 2,537 "," 4,904 ", -   , -   , -   , -   , -   , 88 , 161 ," 4,817 "," 4,992 ", 966 ,4748," 2,279 "," 2,469 "," 4,694 ", -   , -   , -   , -   , -   , 54 , 127 ," 4,607 ", 95.1 ,92.8,97.3,95.7,-666666666,-666666666,-666666666,-666666666,-666666666,61.4,78.9,95.6,95.1,93,94.8,97.6,90.9, 244 , 176 , 68 , 210 , -   , -   , -   , -   , -   , 34 , 34 , 210 , 244 , 102 , 105 , 37 ,88,4.9,7.2,2.7,4.3,-666666666,-666666666,-666666666,-666666666,-666666666,38.6,21.1,4.4,0500000US47137,47,137
Polk County,2020," 16,552 "," 8,217 "," 8,335 "," 15,687 ", 79 , 37 , 27 , -   , 77 , 645 , 349 ," 15,415 "," 16,489 "," 2,046 ",14236," 6,949 "," 7,287 "," 13,645 ", -   , 37 , 25 , -   , 29 , 500 , 156 ," 13,518 ", 86.0 ,84.6,87.4,87,0,100,92.6,-666666666,37.7,77.5,44.7,87.7,86.1,76.7,87.9,90,74.1," 2,316 "," 1,268 "," 1,048 "," 2,042 ", 79 , -   , 2 , -   , 48 , 145 , 193 ," 1,897 "," 2,296 ", 819 ," 1,034 ", 443 ,529,14,15.4,12.6,13,100,0,7.4,-666666666,62.3,22.5,55.3,12.3,0500000US47139,47,139
Rhea County,2020," 32,640 "," 16,110 "," 16,530 "," 30,284 ", 563 , 31 , 172 , -   , 559 ," 1,031 "," 1,682 "," 29,264 "," 31,904 "," 5,449 ",28922," 13,936 "," 14,986 "," 27,102 ", 461 , 22 , 63 , -   , 415 , 859 ," 1,265 "," 26,346 ", 88.6 ,86.5,90.7,89.5,81.9,71,36.6,-666666666,74.2,83.3,75.2,90,88.5,79.7,90.6,94.1,79.6," 3,718 "," 2,174 "," 1,544 "," 3,182 ", 102 , 9 , 109 , -   , 144 , 172 , 417 ," 2,918 "," 3,661 "," 1,766 "," 1,403 ", 492 ,1109,11.4,13.5,9.3,10.5,18.1,29,63.4,-666666666,25.8,16.7,24.8,10,0500000US47143,47,143
Roane County,2020," 52,646 "," 25,725 "," 26,921 "," 49,328 "," 1,187 ", 226 , 412 , 18 , 237 ," 1,238 "," 1,030 "," 48,792 "," 52,604 "," 7,117 ",49272," 23,920 "," 25,352 "," 46,327 "," 1,072 ", 226 , 284 , -   , 164 ," 1,199 ", 910 ," 45,805 ", 93.6 ,93,94.2,93.9,90.3,100,68.9,0,69.2,96.8,88.3,93.9,93.6,89.5,92.8,97.1,90.4," 3,374 "," 1,805 "," 1,569 "," 3,001 ", 115 , -   , 128 , 18 , 73 , 39 , 120 ," 2,987 "," 3,374 "," 1,186 "," 1,658 ", 530 ,680,6.4,7,5.8,6.1,9.7,0,31.1,100,30.8,3.2,11.7,6.1,0500000US47145,47,145
Rutherford County,2020," 321,339 "," 157,299 "," 164,040 "," 241,621 "," 48,392 ", 832 ," 11,277 ", 37 ," 5,383 "," 13,797 "," 26,828 "," 223,679 "," 317,743 "," 32,953 ",292552," 142,166 "," 150,386 "," 220,554 "," 45,032 ", 702 ," 10,245 ", 16 ," 3,925 "," 12,078 "," 18,137 "," 208,971 ", 91.0 ,90.4,91.7,91.3,93.1,84.4,90.8,43.2,72.9,87.5,67.6,93.4,91,83,89.3,96.4,81.4," 28,787 "," 15,133 "," 13,654 "," 21,067 "," 3,360 ", 130 ," 1,032 ", 21 ," 1,458 "," 1,719 "," 8,691 "," 14,708 "," 28,467 "," 8,329 "," 15,760 "," 4,378 ",6123,9,9.6,8.3,8.7,6.9,15.6,9.2,56.8,27.1,12.5,32.4,6.6,0500000US47149,47,149
Scott County,2020," 21,688 "," 10,735 "," 10,953 "," 21,260 ", 62 , 122 , 3 , -   , 15 , 226 , 210 ," 21,107 "," 21,509 "," 4,734 ",19084," 9,188 "," 9,896 "," 18,688 ", 60 , 118 , 3 , -   , 15 , 200 , 210 ," 18,535 ", 88.0 ,85.6,90.3,87.9,96.8,96.7,100,-666666666,100,88.5,100,87.8,87.9,83.8,88.7,95,88," 2,604 "," 1,547 "," 1,057 "," 2,572 ", 2 , 4 , -   , -   , -   , 26 , -   ," 2,572 "," 2,604 "," 1,195 "," 1,254 ", 155 ,568,12,14.4,9.7,12.1,3.2,3.3,0,-666666666,0,11.5,0,12.2,0500000US47151,47,151
Sequatchie County,2020," 14,703 "," 7,461 "," 7,242 "," 14,237 ", 39 , 26 , -   , -   , 48 , 353 , 533 ," 13,704 "," 14,684 "," 3,174 ",12974," 6,421 "," 6,553 "," 12,562 ", 15 , 26 , -   , -   , 38 , 333 , 172 ," 12,390 ", 88.2 ,86.1,90.5,88.2,38.5,100,-666666666,-666666666,79.2,94.3,32.3,90.4,88.2,78.8,88.8,98.7,78.8," 1,729 "," 1,040 ", 689 ," 1,675 ", 24 , -   , -   , -   , 10 , 20 , 361 ," 1,314 "," 1,729 ", 919 , 764 , 46 ,674,11.8,13.9,9.5,11.8,61.5,0,-666666666,-666666666,20.8,5.7,67.7,9.6,0500000US47153,47,153
