name,label,concept
for,Census API FIPS 'for' clause,Census API Geography Specification
in,Census API FIPS 'in' clause,Census API Geography Specification
ucgid,Uniform Census Geography Identifier clause,Census API Geography Specification
S0804_C04_068E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!5:00 a.m. to 5:29 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY
S0503_C02_078E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Retail trade,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S2603_C07_076E,Estimate!!Military quarters/military ships!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (5 TYPES)
S0701PR_C01_028E,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO
S0804_C04_067E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!12:00 a.m. to 4:59 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY
S0503_C02_077E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Wholesale trade,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S2603_C07_075E,"Estimate!!Military quarters/military ships!!PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY!!Total population!!Foreign born!!Entered before 2000",CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (5 TYPES)
S0701PR_C01_029E,Estimate!!Total!!MARITAL STATUS!!Population 15 years and over!!Never married,GEOGRAPHIC MOBILITY BY SELECTED CHARACTERISTICS IN PUERTO RICO
S2603_C07_078E,Estimate!!Military quarters/military ships!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea!!Asia,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (5 TYPES)
S0503_C02_076E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Manufacturing,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S0506_C01_120E,Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Married-couple family!!With related children of the householder under 5 years only,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  LATIN AMERICA
S0804_C04_069E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home!!TIME ARRIVING AT WORK!!5:30 a.m. to 5:59 a.m.,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY
S2603_C07_077E,Estimate!!Military quarters/military ships!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea!!Europe,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (5 TYPES)
S0503_C02_075E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Construction,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S0506_C01_121E,"Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  LATIN AMERICA
S0804_C04_064E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY
S0503_C02_074E,"Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S2101_C06_004E,Estimate!!Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!Vietnam era veterans,VETERAN STATUS
S0506_C01_122E,"Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family!!With related children of the householder under 18 years",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  LATIN AMERICA
S0506_C01_123E,"Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!POVERTY RATES FOR FAMILIES FOR WHOM POVERTY STATUS IS DETERMINED!!Female householder, no spouse present, family!!With related children of the householder under 5 years only",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  LATIN AMERICA
S2603_C07_079E,Estimate!!Military quarters/military ships!!WORLD REGION OF BIRTH OF FOREIGN BORN!!Foreign-born population excluding population born at sea!!Latin America,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (5 TYPES)
S0503_C02_073E,"Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S2101_C06_003E,Estimate!!Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!Gulf War (8/1990 to 8/2001) veterans,VETERAN STATUS
S0804_C04_063E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over!!CLASS OF WORKER!!Government workers,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY
S0506_C01_124E,Estimate!!Total!!Occupied housing units,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  LATIN AMERICA
S0804_C04_066E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over who did not work from home,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY
S2101_C06_002E,Estimate!!Percent Nonveterans!!Civilian population 18 years and over!!PERIOD OF SERVICE!!Gulf War (9/2001 or later) veterans,VETERAN STATUS
S0503_C02_072E,"Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations",SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S0804_C04_065E,Estimate!!Public transportation (excluding taxicab)!!Workers 16 years and over!!CLASS OF WORKER!!Unpaid family workers,MEANS OF TRANSPORTATION TO WORK BY SELECTED CHARACTERISTICS FOR WORKPLACE GEOGRAPHY
S0506_C01_125E,Estimate!!Total!!Occupied housing units!!HOUSING TENURE!!Owner-occupied housing units,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  LATIN AMERICA
S1902_C02_028E,"Estimate!!Percent Distribution!!PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino",MEAN INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)
S2101_C06_001E,Estimate!!Percent Nonveterans!!Civilian population 18 years and over,VETERAN STATUS
S0503_C02_071E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Sales and office occupations,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S0102_C02_046E,Estimate!!60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S2101_C06_008E,Estimate!!Percent Nonveterans!!Civilian population 18 years and over!!SEX!!Female,VETERAN STATUS
S0503_C02_070E,Estimate!!Foreign born; Born in Europe!!Civilian employed population 16 years and over!!OCCUPATION!!Service occupations,SELECTED CHARACTERISTICS OF THE FOREIGN-BORN POPULATION BY REGION OF BIRTH:  EUROPE
S0102_C02_047E,Estimate!!60 years and over!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
S2602_C04_079E,Estimate!!Nursing facilities/skilled nursing facilities!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,CHARACTERISTICS OF THE GROUP QUARTERS POPULATION BY GROUP QUARTERS TYPE (3 TYPES)
S2101_C06_007E,Estimate!!Percent Nonveterans!!Civilian population 18 years and over!!SEX!!Male,VETERAN STATUS
S0102_C02_044E,Estimate!!60 years and over!!DISABILITY STATUS!!Civilian noninstitutionalized population!!With any disability,POPULATION 60 YEARS AND OVER IN THE UNITED STATES
