facility,phone number,city,zip code,County Name
 Premier Radiology Antioch,   (615) 467-4642,"  Antioch, TN", 37013,Davidson County
 Starr Regional Breast Cen,   (423) 744-3372 x3373,"  Athens, TN", 37303,McMinn County
 Saint Francis Hospital -,   (901) 820-7575,"  Bartlett, TN", 38133,Shelby County
 Memphis OB/GYN Associatio,   (901) 373-9221,"  Bartlett, TN", 38133,Shelby County
 West Tennessee Healthcare,   (731) 659-0243,"  Bolivar, TN", 38008,Hardeman County
 Premier Radiology Brentwo,   (615) 832-9551,"  Brentwood, TN", 37027,Williamson County
 Heritage Medical Associat,   (629) 255-3300,"  Brentwood, TN", 37027,Williamson County
 Wellmont Bristol Regional,   (423) 844-4585,"  Bristol, TN", 37620,Sullivan County
 Outpatient Diagnostic Cen,   (423) 990-2440,"  Bristol, TN", 37620,Sullivan County
 Camden General Hospital,   (731) 593-6305,"  Camden, TN", 38320,Benton County
 Riverview Regional Medica,   (615) 735-5300,"  Carthage, TN", 37030,Smith County
 Mary Ellen Locher Breast,   (423) 495-4040,"  Chattanooga, TN", 37404,Hamilton County
" Parkridge Medical Center,",   (423) 493-6703,"  Chattanooga, TN", 37404,Hamilton County
 Prime Imaging and Vein Ce,   (423) 893-7226,"  Chattanooga, TN", 37421,Hamilton County
 Prime Imaging Chattanooga,   (423) 622-4700,"  Chattanooga, TN", 37404,Hamilton County
 Chattanooga Imaging - Eas,   (423) 553-1234,"  Chattanooga, TN", 37421,Hamilton County
 Chattanooga Imaging Downt,   (423) 498-1414,"  Chattanooga, TN", 37404,Hamilton County
 Erlanger East Breast Cent,   (423) 680-8690,"  Chattanooga, TN", 37421,Hamilton County
 Erlanger Imaging Mammogra,   (423) 778-6494,"  Chattanooga, TN", 37403,Hamilton County
 Erlanger North Breast Cen,   (423) 778-3399,"  Chattanooga, TN", 37415,Hamilton County
" Premier Medical Group, P.",   (931) 245-7000 x8645,"  Clarksville, TN", 37040, Montgomery County
 Tennova Healthcare-Clarks,   (931) 502-1180,"  Clarksville, TN", 37040, Montgomery County
